month,value,group
2020-02-01,1422,number
2020-03-01,2253,number
2020-04-01,1666,number
2020-05-01,1422,number
2020-06-01,1988,number
2020-07-01,1325,number
2020-08-01,1394,number
2020-09-01,1040,number
2020-10-01,1467,number
2020-11-01,1773,number
2020-12-01,2660,number
2021-01-01,1309,number
2021-02-01,1739,number
2021-03-01,2011,number
2020-02-01,307889436.65,value
2020-03-01,445449935.6,value
2020-04-01,338731522.6,value
2020-05-01,267440927.44,value
2020-06-01,403330432.7,value
2020-07-01,290755746.58,value
2020-08-01,268063395.2,value
2020-09-01,223593894.55,value
2020-10-01,298791649.9,value
2020-11-01,308593531.02,value
2020-12-01,420452501.25,value
2021-01-01,246044985.14,value
2021-02-01,260017422.87,value
2021-03-01,356019995.93,value
2020-02-01,7.17299578059072,success
2020-03-01,6.4358632933866,success
2020-04-01,4.74189675870348,success
2020-05-01,3.16455696202532,success
2020-06-01,8.95372233400403,success
2020-07-01,8.60377358490566,success
2020-08-01,6.3845050215208,success
2020-09-01,20,success
2020-10-01,22.6312201772324,success
2020-11-01,38.6350817822899,success
2020-12-01,51.1278195488722,success
2021-01-01,43.7738731856379,success
2021-02-01,47.9010925819436,success
2021-03-01,51.2182993535554,success
2020-02-01,24240391.32,revenue
2020-03-01,40864854.8,revenue
2020-04-01,20041967,revenue
2020-05-01,10813926.39,revenue
2020-06-01,46419296.71,revenue
2020-07-01,28614191.86,revenue
2020-08-01,19729195.06,revenue
2020-09-01,46007407.07,revenue
2020-10-01,63621691,revenue
2020-11-01,116456280.77,revenue
2020-12-01,226423597.82,revenue
2021-01-01,107638962.43,revenue
2021-02-01,118706596.03,revenue
2021-03-01,189206451.61,revenue
