date,level,base,budget,contract
2016-01-01,Бакалавр,Бакалавр,45,202
2016-04-01,Бакалавр,Бакалавр,41,236
2016-07-01,Бакалавр,Бакалавр,8,72
2016-10-01,Бакалавр,Бакалавр,15,121
2017-01-01,Бакалавр,Бакалавр,15,142
2017-04-01,Бакалавр,Бакалавр,18,184
2017-07-01,Бакалавр,Бакалавр,10,60
2017-10-01,Бакалавр,Бакалавр,10,717
2018-01-01,Бакалавр,Бакалавр,10,697
2018-04-01,Бакалавр,Бакалавр,12,686
2018-07-01,Бакалавр,Бакалавр,7,599
2018-10-01,Бакалавр,Бакалавр,11,1200
2019-01-01,Бакалавр,Бакалавр,12,1176
2019-04-01,Бакалавр,Бакалавр,17,1179
2019-07-01,Бакалавр,Бакалавр,12,909
2019-10-01,Бакалавр,Бакалавр,22,1674
2020-01-01,Бакалавр,Бакалавр,28,1640
2020-04-01,Бакалавр,Бакалавр,33,1651
2020-07-01,Бакалавр,Бакалавр,23,1195
2020-10-01,Бакалавр,Бакалавр,28,2039
2021-01-01,Бакалавр,Бакалавр,31,2045
2021-04-01,Бакалавр,Бакалавр,34,2040
2021-07-01,Бакалавр,Бакалавр,19,1502
2021-10-01,Бакалавр,Бакалавр,26,2493
2022-01-01,Бакалавр,Бакалавр,29,2435
2022-04-01,Бакалавр,Бакалавр,37,2420
2022-07-01,Бакалавр,Бакалавр,27,2048
2022-10-01,Бакалавр,Бакалавр,37,5873
2023-01-01,Бакалавр,Бакалавр,59,6970
2023-04-01,Бакалавр,Бакалавр,56,7163
2023-07-01,Бакалавр,Бакалавр,37,6981
2023-10-01,Бакалавр,Бакалавр,41,29143
2021-07-01,Бакалавр,Молодший бакалавр,0,1
2021-10-01,Бакалавр,Молодший бакалавр,1,3
2022-01-01,Бакалавр,Молодший бакалавр,5,17
2022-04-01,Бакалавр,Молодший бакалавр,5,47
2022-07-01,Бакалавр,Молодший бакалавр,5,46
2022-10-01,Бакалавр,Молодший бакалавр,4,59
2023-01-01,Бакалавр,Молодший бакалавр,9,66
2023-04-01,Бакалавр,Молодший бакалавр,9,78
2023-07-01,Бакалавр,Молодший бакалавр,7,66
2023-10-01,Бакалавр,Молодший бакалавр,7,103
2016-01-01,Бакалавр,Молодший спеціаліст,36355,37858
