"user_company","sellingEntity.identifier.id","region","timber_volume","usable_wood_volume"
"Верхньогірське ЛГ","40474761","Закарпатська",9365,16356
"Верхньодніпровське ЛГ","00991678","Дніпропетровська",2338.6,14525
"Верховинське ЛГ","22186413","Івано-Франківська",6338,46912
"Вигодське ЛГ","22186175","Івано-Франківська",27210,170836
"Виноградівське ЛГ","22114556","Закарпатська",2687,15769
"Висоцьке ЛГ","00992740","Рівненська",16782,68350
"Вищедубечанське ЛГ","00992094","Київська",79550,117462
"Вінницьке ЛГ","33315831","Вінницька",66250,74057
"Вознесенське ЛГ","00992556","Миколаївська",298.725,7018
"Воловецьке ЛГ","22114566","Закарпатська",28730,42456
"Володимир-Волинське ЛМГ","00991516","Волинська",15869,61429
"Володимирецьке ЛГ","00992757","Рівненська",8175,85406
"Гадяцьке ЛГ","00992711","Полтавська",31110,93638
"Гайсинське ЛГ","00991396","Вінницька",3645,51232
"Глухівське ЛГ","00992906","Сумська",42629,72415
"Городницьке ЛГ","13552379","Житомирська",90515,116885
"Городнянське ЛГ","00993550","Чернігівська",34425,138756
"Горохівське ЛМГ","13350807","Волинська",9103,29969
"Гринявське ЛГ","22186425","Івано-Франківська",8174,39370
"Гутянське ЛГ","00993082","Харківська",15070,61928
"Дніпровське ЛГ","00991686","Дніпропетровська",3333,6044
"Добрянське ЛГ","00993509","Чернігівська",41673,295425
"Довжанське ЛМГ","22114572","Закарпатська",17565,52035
"Дрогобицьке ЛГ","00992390","Львівська",25420,66324
"Дубенське ЛГ","00992869","Рівненська",39260,91128
"Дубровицьке ЛГ","00992881","Рівненська",17180,74369
"Ємільчинське ЛГ","00991829","Житомирська",46275,110645
"Житомирське ЛГ","22050949","Житомирська",34470,115178
"Жовківське ЛГ","00992438","Львівська",21700,53313
"Жовтневе ЛГ","00993165","Харківська",51818,68181
"Зарічанське ЛГ","36548884","Рівненська",8315,74664
"Зарічненське ЛГ","00992823","Рівненська",22200,74664
"Збур'ївське ЛМГ","00993260","Херсонська",150,1920.1
"Зміївське ЛГ","00993099","Харківська",10300,37589
"Золочівське ЛГ","00992467","Львівська",24250,44519
"Іванківське ЛГ","00992088","Київська",68300,195945
"Івано-Франківське ЛГ","22192129","Івано-Франківська",3145,31394
"Івано-Франківський ЛСНЦ","33586969","Івано-Франківська",903,4972
"Ізюмське ЛГ","00993113","Харківська",5442,60618.2
"Іллінецьке ЛГ","00991456","Вінницька",3200,41948
"Іршавський лісгосп","37720800","Закарпатська",19259,25742
"Калуське ЛГ","20562527","Івано-Франківська",12275,37868
"Київська ЛНДС","00152595","Київська",6600,23223
"Клавдієвське ЛГ","00992065","Київська",29954,80323
"Клеванське ЛГ","00992852","Рівненська",22200,81362
"Клесівське ЛГ","00992771","Рівненська",23520,143579
"Ковельське ЛГ","00991539","Волинська",16168,47394
"Колківське ЛГ","00991597","Волинська",48537,48329
"Коломийське ЛГ","22190768","Івано-Франківська",10368,31670
"Конотопське ЛГ","00992935","Сумська",14550,83915
"Коростишівське ЛГ","00991858","Житомирська",28900,106967
"Корюківське ЛГ","00993515","Чернігівська",27170,144809
"Костопільське ЛГ","00992800","Рівненська",41470,162782
"Красноградське ЛГ","00993159","Харківська",4300,15126
"Кременецьке ЛГ","00993047","Тернопільська",14504,39107
"Кременчуцьке ЛГ","00992680","Полтавська",6328,31567
"Кремінське ЛМГ","00993604","Луганська",10850,42911
"Криворізьке ЛГ","00991628","Дніпропетровська",448,3692
"Крижопільське ЛГ","00991427","Вінницька",15240,46242
"Кролевецьке ЛМГ","00993001","Сумська",35290,78239
"Кутське ЛГ","20562608","Івано-Франківська",910,16490
"Лебединське ЛГ","00992941","Сумська",36190,69309.3
"Лиманське ЛГ","00991717","Донецька",25550,26962
"ЛМГ Звірівське","05538158","Волинська",4648,14669
"Лубенське ЛГ","00992705","Полтавська",6900,24655
"Лугинське ЛГ","00991864","Житомирська",51952,118824
"Лугинський спецлісгосп","05418496","Житомирська",23815,76754.2
"Львівське ЛГ","20842267","Львівська",8602,29602
"Любешівське ЛМГ","14289429","Волинська",9893,34664
"Любомльське ЛГ","00991580","Волинська",20437,68744
"Макарівське ЛГ","00992160","Київська",35528,76301
"Малинське ЛГ","13551546","Житомирська",100100,137888
"Маневицьке ЛГ","00991545","Волинська",35212,134498
"Миргородське ЛГ","00992697","Полтавська",22287,72828
"Міжгірське ЛГ","22114589","Закарпатська",47052,74797
"Млинівське ЛГ","13991205","Рівненська",31484,60567
"Могилів-Подільське ЛГ","00991433","Вінницька",6211,46126
"Мокрянське ЛМГ","32467828","Закарпатська",54271,79437
"Мукачівське ЛГ","22114595","Закарпатська",19527,85904
"Надвірнянське ЛГ","22189564","Івано-Франківська",10902,116788
"Народицьке спеціалізоване ЛГ","34283057","Житомирська",67150,144932
"Ніжинське ЛГ","00993521","Чернігівська",15757,89428
"Новгород-Сіверське ЛГ","00993538","Чернігівська",14108,66554
"Новоград-Волинське ДЛМГ","00991947","Житомирська",18665,130165
"Новомосковське ЛГ","00991634","Дніпропетровська",466.08,4204
"Овруцьке спеціалізоване ЛГ","00991893","Житомирська",27710,134030
"Олешківське ЛМГ","00993194","Херсонська",500,21942
"Осмолодське ЛГ","22191070","Івано-Франківська",11395,148149
"Остерське ЛГ","00993544","Чернігівська",8115,81823
"Остерський військовий лісгосп","14304732","Чернігівська",21412,67018
"Остківське ЛГ","00992875","Рівненська",26532,59831
"Острозьке ЛГ","00992763","Рівненська",23425,55798
"Охтирське ЛГ","00992898","Сумська",25530,59952
"Павлоградське ЛГ","00991663","Дніпропетровська",891,2432
"Перечинське ЛГ","22114603","Закарпатська",21129,45049
"Переяслав-Хмельницьке ЛГ","00992131","Київська",19600,34074
"Петриківське ЛГ","00991611","Дніпропетровська",6700,9834
"Пирятинське ЛГ","21071375","Полтавська",5750,16815
"Покровське ЛГ","00991769","Донецька",412,1049.8
"Поліське ЛГ Київ","00992125","Київська",48950,77985
"Поліське ЛГ Волинь","37580075","Волинська",9260,54733
"Полтавське ЛГ","25172647","Полтавська",26608,103636
"Приазовське ЛГ","00991692","Донецька",970,5673.6
"Прибузьке ЛГ","37626753","Волинська",8317,30264
"Прилуцьке ЛГ","00993461","Чернігівська",3470,36422
"Путильське ЛГ","21448070","Чернівецька",7800.933,73023
"Рава-Руське ЛГ","00992450","Львівська",47000,92806
"Радехівське ЛМГ","00992378","Львівська",31560,49170
"Радомишльське ЛМГ","13568251","Житомирська",25500,159332
"Ратнівське ЛМГ","00991503","Волинська",10075,38126
"Рахівське дослідне ЛГ","22114610","Закарпатська",51300,133083
"Рогатинське ЛГ","22192916","Івано-Франківська",16828,24137
"Рокитнівське ЛГ","00992817","Рівненська",22520,77325
"Роменське ЛГ","00992958","Сумська",40625,39606
"Самбірське ЛГ","00992510","Львівська",24790,28521
"Сарненське ЛГ","00992836","Рівненська",100760,190473
"Середино-Будське ЛГ","00992970","Сумська",42371,68089
"Сєвєродонецьке ЛМГ","00993610","Луганська",33650,27740
"Сколівське ЛГ","00992473","Львівська",22395,47396
"Славське ЛГ","00992384","Львівська",30400,79955
"Словечанське ЛГ","00991953","Житомирська",87000,174965
"Сокирянське ЛГ","35361371","Чернівецька",29500,43087
"Соснівське ЛГ","00992786","Рівненська",68130,176507
"Карпатський держспецлісгосп СЛАП","05398473","Чернівецька",7500,46351
"Камінь-Каширськагроліс","35097450","Волинська",15178,46654
"Локачіагроліс","36709482","Волинська",1545,5758
"Ратнеагроліс СЛАП","34417131","Волинська",10404,30811
"Сторожинецький держспецлісгосп СЛАП","05398487","Чернівецька",12050,30304
"Старобільське ЛМГ","00993646","Луганська",6650,14639
"Старовижівське ЛГ","13354633","Волинська",14474,57901
"Старосамбірське ЛМГ","00992421","Львівська",10837,34428
"Сторожинецьке ЛГ","21440625","Чернівецька",27600,67997
"Стрийське ЛГ","00992415","Львівська",206800,172401
"Сумське ЛГ","00992964","Сумська",30940,57200
"Тернопільське ЛГ","00993024","Тернопільська",16300,39258
"Тростянецький лісгосп","00992993","Сумська",56387,70395.5
"Тульчинське ЛМГ","00991479","Вінницька",40905,49577
"Турійське ЛГ","30996788","Волинська",8749,40045
"Турківське ЛГ","00992409","Львівська",9275,26027
"Тячівське ЛГ","40475037","Закарпатська",15825,30012
"Ужгородське ЛГ","22114655","Закарпатська",21563,48444
"Фастівське ЛГ","00992059","Київська",23000,87007
"Хмільницьке ЛГ","00991485","Вінницька",19385,44650
"Холминське ЛГ","00993484","Чернігівська",15320,113963
"Хотинське ЛГ","00274536","Чернівецька",31362,40615
"Хустське дослідне ЛГ","22114649","Закарпатська",18996,54541
"Чернігівське ЛГ","00993490","Чернігівська",27995,114244
"Чорноліське ЛГ","00992214","Кіровоградська",48750,43301
"Чортківське ЛГ","00993053","Тернопільська",36740,59998
"Шацьке учбово-досвідне ЛГ","00991574","Волинська",7149,28923
"Шосткинське ЛГ","00992987","Сумська",19630,93539
"Ясінянське ЛМГ","22114684","Закарпатська",47512,126782
"Вовчанське ЛГ","00993136","Харківська",5650,64147
"Куп'янське ЛГ","00993107","Харківська",12564,62575
"Новоушицьке ЛГ","05430811","Хмельницька",12700,10587
"Проскурівське ЛГ","35478680","Хмельницька",12400,13145
"Славутське ЛГ","00993314","Хмельницька",35137,97063
"Рожищеагроліс СЛАП","37040080","Волинська",2435,17818
"Хмельницьке ЛМГ","33285303","Хмельницька",31680,107363
"Чугуєво-Бабчанське ЛГ","00993069","Харківська",705,20360
"Шепетівське ЛГ","00993320","Хмельницька",22337,59544
"Ярмолинецьке ЛГ","00993343","Хмельницька",29550,61346.9
"Білоцерківський ЛГ","00992119","Київська",13900,75488
"Болехівське ЛГ","22177986","Івано-Франківська",12625,57220
"Київське ЛГ","00991373","Київська",82303,60716
"Ківерцівське ЛГ","00991551","Волинська",12165,51238
"Коростенське ЛМГ","00991841","Житомирська",40548,80485
"Ржищівський військовий лісгосп","22990204","Київська",8906,33315
"Свалявське ЛГ","22114626","Закарпатська",39964,76786
"Свеське ЛГ","00992929","Сумська",133380,89369
"Чернівецьке ЛГ","00274453","Чернівецька",14200,38620.4
"Новосанжарське ЛГ","00992734","Полтавська",4280,49370
"Рафалівське ЛГ","32626235","Рівненська",7860,74668
"Дніпровсько-Тетерівське ДЛМГ","00991384","Київська",13873.72,29288
"Боринське ЛГ","20762097","Львівська",9480,16434
"Бориспільське ЛГ","00992102","Київська",11500,48567
"Ворохтянське ЛГ","20562421","Івано-Франківська",4390,29639
"Голованівське ЛГ","00992194","Кіровоградська",300,29510
"Димерське ЛГ","00992036","Київська",63240,100874
"Жмеринське ЛГ","00991449","Вінницька",5555,37007
"Звенигородське ЛГ","00993426","Черкаська",7470,70367.5
"Кам'янське ЛГ","00993432","Черкаська",7500,37317
"Камінь-Каширське ЛГ","00991568","Волинська",21078,74815
"Корсунь-Шевченківське ЛГ","00993395","Черкаська",6118,74436
"Краснопільське ЛГ","00992912","Сумська",59593,63490
"Миколаївське ЛГ","33437380","Миколаївська",140,889.5
"Новоайдарське ЛМГ","00991605","Луганська",64521,50447
"Олевське ЛГ","00991901","Житомирська",16000,89147
"Олександрівське ЛГ","05396899","Кіровоградська",4050,35354
"Любешівагроліс","35298111","Волинська",11463,46620
"Солотвинське ЛГ","22184176","Івано-Франківська",6371,30042
"Уманське ЛГ","00993389","Черкаська",10070,77715
"Ізяславське ЛГ","00993308","Хмельницька",35250,61972
"Кам'янець-Подільське ЛГ","00993283","Хмельницька",37540,26517
"Летичівське ЛГ","00993298","Хмельницька",53150,39945
"Старокостянтинівське ЛГ","00993337","Хмельницька",55942,77055
"Вижницький держспецлісгосп АПК","30749729","Чернівецька",6813,20190
"Попільнянське ЛГ","13549845","Житомирська",29675,83244
"Рокитнівський держспецлісгосп СЛАП","33166992","Рівненська",1350,16057
"Оникіївське ЛГ","00992208","Кіровоградська",5400,30892
"Цуманське ЛГ","00991491","Волинська",14363,49632
"Сколівські Бескиди НПП","30405534","Львівська",1500,8365
