"user_company","sellingEntity.identifier.id","region","timber_volume","usable_wood_volume"
"Галицький НПП","33278706","Івано-Франківська",250,6496
"Березнівське ЛГ","00992792","Рівненська",18930,137365
"Станично-Луганське досвідне ЛМГ","00993633","Луганська",5333,59249
"Золотоніське ЛГ","00993366","Черкаська",4100,66751
"Канівське ЛГ","00993352","Черкаська",13020,68348
"Лисянське ЛГ","00993417","Черкаська",8602,35757
"Смілянське ЛГ","00993403","Черкаська",9640,110662
"Черкаське ЛГ","00993372","Черкаська",20200,165252
"Чигиринське ЛГ","00993449","Черкаська",7962,37447
"Семенівське ЛГ","00993478","Чернігівська",9190,86108
"Білокуракинське ЛМГ","25359239","Луганська",2200,4434
"Богуславське ЛГ","00992042","Київська",63748,44681
"Городоцьке ЛГ","00991522","Волинська",10649,39252
"Делятинське ЛГ","22189570","Івано-Франківська",7640,41344
"Овруцьке ЛГ","00991887","Житомирська",45260,181566
"Ржищівське ЛГ","00992148","Київська",3186,12846
"Рівненське ЛГ","13983688","Рівненська",19050,56425
"Тетерівське ЛГ","00992071","Київська",46745,214518
"Балаклійське ЛГ","00993123","Харківська",10260,37735
"Баранівське ЛМГ","13554881","Житомирська",33370,131185
"Бердичівське ЛГ","00991806","Житомирська",24170,61467
"Берегівське ЛГ","22114537","Закарпатська",16478,28361
"Берегометське ЛМГ","21438976","Чернівецька",35800,98146
"Бережанське ЛМГ","00993018","Тернопільська",26390,52374
"Бершадське ЛГ","00991410","Вінницька",36375,36725
"Бібрський ЛГ","00992488","Львівська",33740,24740
"Біловодське ЛМГ","00993573","Луганська",128,10855.4
"Білокоровицьке ЛГ","00991798","Житомирська",60108,172312
"Борзнянське ЛГ","00993455","Чернігівська",20210,53643
"Бродівське ЛГ","00992444","Львівська",77573,103490
"Брошнівське ЛГ","22191064","Івано-Франківська",38015,86883.1
"Брустурянське ЛМГ","32464172","Закарпатська",60607,183585
"Буське ЛГ","00992504","Львівська",39645,63253
"Бучацьке ЛГ","00993030","Тернопільська",17680,35202
"Великоанадольське ЛГ","00991752","Донецька",2762.4,11461
"Великоберезнянське ЛГ","22114543","Закарпатська",36476,38354
"Великобичківське ДЛМГ","22114678","Закарпатська",69950,115492
"Великокопанівське ЛМГ","00993277","Херсонська",650,10684
