index,Ідентифікатор закладу освіти в ЄДЕБО,"Назва закладу освіти, в якому працевлаштований працівник"
0,2,64
1,3,575
2,4,361
3,5,46
4,7,1470
5,9,948
6,13,124
7,14,7
8,16,208
9,17,359
10,19,208
11,20,970
12,21,371
13,24,504
14,25,64
15,26,34
16,27,497
17,28,681
18,31,283
19,33,373
20,34,650
21,36,749
22,39,419
23,40,547
24,41,3258
25,42,316
26,43,422
27,44,1031
28,47,654
29,48,350
30,49,55
31,50,194
32,51,486
33,52,175
34,53,132
35,55,386
36,57,463
37,59,277
38,61,1217
39,62,2939
40,63,45
41,67,92
42,71,261
43,73,764
44,77,382
45,78,210
46,79,1018
47,80,347
48,81,562
49,82,350
50,83,377
51,84,405
52,85,667
53,86,203
54,87,310
55,88,1245
56,89,197
57,90,274
58,91,783
59,92,983
60,94,393
61,95,217
62,96,510
63,97,2873
64,98,274
65,101,615
66,102,678
67,103,331
68,104,1640
69,105,409
70,107,299
71,109,434
72,110,202
73,111,777
74,112,242
75,113,68
76,117,162
77,118,235
78,119,63
79,120,229
80,121,1375
81,123,186
82,124,133
83,126,578
84,127,1099
85,128,36
86,130,31
87,132,147
88,135,95
89,136,378
90,137,478
91,138,567
92,140,326
93,143,29
94,144,219
95,145,361
96,148,382
97,149,1928
98,151,526
99,154,237
100,155,265
101,156,81
102,158,402
103,160,295
104,161,298
105,162,360
106,165,570
107,166,422
108,167,187
109,168,768
110,169,32
111,171,703
112,172,367
113,173,102
114,174,2396
115,175,266
116,176,27
117,177,240
118,178,592
119,179,166
120,180,438
121,182,97
122,183,2238
123,186,49
124,187,282
125,188,756
126,189,133
127,192,463
128,193,230
129,195,116
130,197,420
131,198,246
132,201,328
133,202,147
134,204,95
135,207,2000
136,208,506
137,209,271
138,210,524
139,211,57
140,212,505
141,213,263
142,215,214
143,216,298
144,217,298
145,218,370
146,219,88
147,220,552
148,221,28
149,222,50
150,224,46
151,225,414
152,227,592
153,228,180
154,229,412
155,231,17
156,232,35
157,235,46
158,236,49
159,237,52
160,238,29
161,239,60
162,240,367
163,241,39
164,243,37
165,244,432
166,245,38
167,246,412
168,248,374
169,249,355
170,251,1
171,252,484
172,253,278
173,254,59
174,255,68
175,256,52
176,258,92
177,260,29
178,261,110
179,265,490
180,267,219
181,268,489
182,269,62
183,272,311
184,274,507
185,275,153
186,281,77
187,282,2542
188,284,2
189,285,1058
190,289,54
191,290,31
192,291,53
193,293,27
194,295,74
195,297,170
196,299,81
197,300,1231
198,304,136
199,306,205
200,307,372
201,308,812
202,309,489
203,310,202
204,314,45
205,315,397
206,316,690
207,318,324
208,319,80
209,324,103
210,327,115
211,328,382
212,330,146
213,332,175
214,337,1021
215,339,65
216,340,348
217,341,1098
218,344,335
219,345,1
220,346,49
221,347,82
222,353,307
223,354,70
224,356,17
225,357,378
226,362,395
227,364,39
228,402,15
229,416,235
230,474,238
231,529,2
232,574,75
233,575,103
234,593,183
235,605,27
236,606,33
237,607,1
238,622,129
239,624,275
240,627,186
241,715,65
242,729,261
243,731,15
244,768,90
245,797,104
246,799,119
247,811,25
248,827,254
249,831,101
250,834,307
251,836,67
252,850,105
253,864,119
254,865,24
255,866,55
256,868,130
257,869,26
258,892,228
259,919,320
260,953,25
261,962,12
262,975,34
263,978,17
264,999,152
265,1016,28
266,1022,38
267,1035,37
268,1040,169
269,1065,454
270,1069,24
271,1077,12
272,1092,9
273,1093,23
274,1105,8
275,1122,5
276,1125,5
277,1138,5
278,1139,227
279,1151,4
280,1159,24
281,1160,12
282,1164,58
283,1166,10
284,1168,196
285,1172,28
286,1175,35
287,1178,23
288,1182,47
289,1183,49
290,1184,36
291,1186,56
292,1187,46
293,1188,87
294,1192,34
295,1193,39
296,1195,50
297,1197,62
298,1198,60
299,1210,17
300,1211,3
301,1230,25
302,1241,99
303,1250,1
304,1254,182
305,1257,46
306,1258,35
307,1259,9
308,1262,34
309,1265,83
310,1268,23
311,1271,134
312,1274,36
313,1282,226
314,1288,19
315,1290,15
316,1292,41
317,1311,181
318,1324,12
319,1325,28
320,1332,157
321,1339,26
322,1340,40
323,1343,19
324,1362,248
325,1365,140
326,1369,41
327,1373,256
328,1387,31
329,1391,25
330,1394,7
331,1395,184
332,1396,52
333,1413,22
334,1457,45
335,1468,1
336,1469,1
337,1470,9
338,1486,245
339,1548,23
340,1559,52
341,1564,68
342,1566,51
343,1591,1
344,1616,42
345,1624,62
346,1636,7
347,1652,52
348,1657,21
349,2118,108
350,2531,29
351,2625,165
352,2627,72
353,2648,28
354,2656,41
355,2659,16
356,2660,72
357,2664,31
358,2707,34
359,2718,42
360,2735,10
361,2738,25
362,2744,80
363,2750,22
364,2755,32
365,2759,60
366,2781,1
367,2782,31
368,2784,33
369,2785,23
370,2786,79
371,2799,15
372,2812,60
373,2814,36
374,2816,30
375,2833,602
376,2875,69
377,2876,57
378,2926,1
379,2975,195
380,3036,82
381,3074,92
382,3147,28
383,3196,6
384,3218,13
385,3509,38
386,3638,15
387,3640,18
388,3641,6
389,3643,9
390,3778,24
391,3781,338
392,3846,32
393,3848,5
394,3887,11
395,3914,23
396,3924,80
397,3929,19
398,3955,54
399,3969,294
400,3971,43
401,4030,66
402,4032,4
403,4054,39
404,4083,22
405,4102,251
406,4104,18
407,4123,16
408,4165,17
409,4166,16
410,4167,26
411,4194,24
412,4216,40
413,4250,12
414,4258,34
415,4354,126
416,4365,1
417,4374,147
418,4383,149
419,4760,20
420,4931,33
421,5497,6
422,5652,61
423,5691,149
424,5707,131
425,5718,175
426,5752,19
427,5754,679
428,5778,20
429,5780,210
430,5796,36
431,5851,87
432,6372,13
433,6373,2
434,6410,63
435,6415,896
436,6439,4
437,6449,47
438,6459,985
439,6468,3
440,6491,48
441,6507,576
442,6512,62
443,6516,23
444,6540,318
445,6594,606
446,6597,76
447,6600,148
448,6604,41
449,6648,8
450,6664,14
451,6689,213
452,6698,1
453,6704,926
454,6716,778
455,6743,10
456,6774,21
457,6803,21
