,logging_method,region,user_company,tot_records,tot_usbl_vol
0,суцільна,Вінницька,Вінницьке ЛГ,2,114.0
1,суцільна,Волинська,ЛМГ Звірівське,7,479.0
2,суцільна,Волинська,Любешівське ЛМГ,5,355.0
3,суцільна,Волинська,Маневицьке ЛГ,2,186.0
4,суцільна,Волинська,Ратнівське ЛМГ,1,102.0
5,суцільна,Волинська,Старовижівське ЛГ,1,51.0
6,суцільна,Волинська,Турійське ЛГ,3,187.0
7,суцільна,Дніпропетровська,Васильківське ЛГ,3,467.0
8,суцільна,Дніпропетровська,Дніпровське ЛГ,15,1019.0
9,суцільна,Дніпропетровська,Павлоградське ЛГ,4,245.0
10,суцільна,Дніпропетровська,Петриківське ЛГ,1,200.0
11,суцільна,Донецька,Великоанадольське ЛГ,2,2.0
12,суцільна,Житомирська,Баранівське ЛМГ,4,492.0
13,суцільна,Житомирська,Білокоровицьке ЛГ,2,199.0
14,суцільна,Житомирська,Городницьке ЛГ,8,745.0
15,суцільна,Житомирська,Житомирське ЛГ,1,295.0
16,суцільна,Житомирська,Коростенське ЛМГ,5,151.0
17,суцільна,Житомирська,Лугинський спецлісгосп,1,154.0
18,суцільна,Житомирська,Народицьке спеціалізоване ЛГ,1,211.0
19,суцільна,Житомирська,Новоград-Волинське ДЛМГ,9,301.0
20,суцільна,Житомирська,Олевське ЛГ,9,731.0
21,суцільна,Житомирська,Попільнянське ЛГ,2,207.0
22,суцільна,Житомирська,Радомишльське ЛМГ,2,0.0
23,суцільна,Закарпатська,Великоберезнянське ЛГ,13,2849.0
24,суцільна,Закарпатська,Великобичківське ДЛМГ,314,66439.0
25,суцільна,Закарпатська,Верхньогірське ЛГ,3,382.0
26,суцільна,Закарпатська,Воловецьке ЛГ,1,88.0
27,суцільна,Закарпатська,Довжанське ЛМГ,1,92.0
28,суцільна,Закарпатська,Міжгірське ЛГ,8,1445.0
29,суцільна,Закарпатська,Мокрянське ЛМГ,96,17015.0
30,суцільна,Закарпатська,Мукачівське ЛГ,10,697.0
31,суцільна,Закарпатська,Перечинське ЛГ,30,4879.0
32,суцільна,Закарпатська,Рахівське дослідне ЛГ,36,9745.0
