"user_company","sellingEntity.identifier.id","region","auctions","complete"
"Галицький НПП","33278706","Івано-Франківська",2,2
"Березнівське ЛГ","00992792","Рівненська",72,44
"Станично-Луганське досвідне ЛМГ","00993633","Луганська",34,14
"Золотоніське ЛГ","00993366","Черкаська",9,0
"Канівське ЛГ","00993352","Черкаська",50,7
"Лисянське ЛГ","00993417","Черкаська",95,9
"Смілянське ЛГ","00993403","Черкаська",22,2
"Черкаське ЛГ","00993372","Черкаська",91,1
"Чигиринське ЛГ","00993449","Черкаська",93,31
"Семенівське ЛГ","00993478","Чернігівська",32,18
"Білокуракинське ЛМГ","25359239","Луганська",13,0
"Богуславське ЛГ","00992042","Київська",292,15
"Городоцьке ЛГ","00991522","Волинська",23,7
"Делятинське ЛГ","22189570","Івано-Франківська",57,22
"Овруцьке ЛГ","00991887","Житомирська",35,2
"Ржищівське ЛГ","00992148","Київська",23,2
"Рівненське ЛГ","13983688","Рівненська",47,23
"Тетерівське ЛГ","00992071","Київська",114,52
"Балаклійське ЛГ","00993123","Харківська",19,1
"Баранівське ЛМГ","13554881","Житомирська",126,24
"Бердичівське ЛГ","00991806","Житомирська",49,5
"Берегівське ЛГ","22114537","Закарпатська",154,67
"Берегометське ЛМГ","21438976","Чернівецька",40,0
"Бережанське ЛМГ","00993018","Тернопільська",62,12
"Бершадське ЛГ","00991410","Вінницька",87,0
"Бібрський ЛГ","00992488","Львівська",217,7
"Біловодське ЛМГ","00993573","Луганська",2,1
"Білокоровицьке ЛГ","00991798","Житомирська",150,96
"Борзнянське ЛГ","00993455","Чернігівська",136,12
"Бродівське ЛГ","00992444","Львівська",530,31
"Брошнівське ЛГ","22191064","Івано-Франківська",216,52
"Брустурянське ЛМГ","32464172","Закарпатська",362,204
"Буське ЛГ","00992504","Львівська",165,19
"Бучацьке ЛГ","00993030","Тернопільська",73,7
"Великоанадольське ЛГ","00991752","Донецька",14,8
"Великоберезнянське ЛГ","22114543","Закарпатська",287,77
"Великобичківське ДЛМГ","22114678","Закарпатська",369,139
"Великокопанівське ЛМГ","00993277","Херсонська",4,0
"Верхньогірське ЛГ","40474761","Закарпатська",78,43
"Верхньодніпровське ЛГ","00991678","Дніпропетровська",13,10
"Верховинське ЛГ","22186413","Івано-Франківська",75,34
"Вигодське ЛГ","22186175","Івано-Франківська",145,71
"Виноградівське ЛГ","22114556","Закарпатська",141,98
"Висоцьке ЛГ","00992740","Рівненська",118,86
"Вищедубечанське ЛГ","00992094","Київська",73,5
"Вінницьке ЛГ","33315831","Вінницька",81,0
"Вознесенське ЛГ","00992556","Миколаївська",9,0
"Воловецьке ЛГ","22114566","Закарпатська",512,237
"Володимир-Волинське ЛМГ","00991516","Волинська",56,8
"Володимирецьке ЛГ","00992757","Рівненська",45,41
"Гадяцьке ЛГ","00992711","Полтавська",63,1
"Гайсинське ЛГ","00991396","Вінницька",56,10
"Глухівське ЛГ","00992906","Сумська",248,6
"Городницьке ЛГ","13552379","Житомирська",138,1
"Городнянське ЛГ","00993550","Чернігівська",97,10
"Горохівське ЛМГ","13350807","Волинська",76,9
"Гринявське ЛГ","22186425","Івано-Франківська",52,29
"Гутянське ЛГ","00993082","Харківська",7,2
"Дніпровське ЛГ","00991686","Дніпропетровська",20,5
"Добрянське ЛГ","00993509","Чернігівська",116,1
"Довжанське ЛМГ","22114572","Закарпатська",377,55
"Дрогобицьке ЛГ","00992390","Львівська",98,3
"Дубенське ЛГ","00992869","Рівненська",82,23
"Дубровицьке ЛГ","00992881","Рівненська",49,31
