"user_company","sellingEntity.identifier.id","region","auctions","complete"
"Ємільчинське ЛГ","00991829","Житомирська",51,11
"Житомирське ЛГ","22050949","Житомирська",75,20
"Жовківське ЛГ","00992438","Львівська",93,0
"Жовтневе ЛГ","00993165","Харківська",76,0
"Зарічанське ЛГ","36548884","Рівненська",35,4
"Зарічненське ЛГ","00992823","Рівненська",112,88
"Збур'ївське ЛМГ","00993260","Херсонська",1,0
"Зміївське ЛГ","00993099","Харківська",64,0
"Золочівське ЛГ","00992467","Львівська",55,2
"Іванківське ЛГ","00992088","Київська",94,15
"Івано-Франківське ЛГ","22192129","Івано-Франківська",26,8
"Івано-Франківський ЛСНЦ","33586969","Івано-Франківська",17,6
"Ізюмське ЛГ","00993113","Харківська",73,3
"Іллінецьке ЛГ","00991456","Вінницька",16,0
"Іршавський лісгосп","37720800","Закарпатська",178,26
"Калуське ЛГ","20562527","Івано-Франківська",68,38
"Київська ЛНДС","00152595","Київська",8,0
"Клавдієвське ЛГ","00992065","Київська",177,21
"Клеванське ЛГ","00992852","Рівненська",78,45
"Клесівське ЛГ","00992771","Рівненська",140,79
"Ковельське ЛГ","00991539","Волинська",47,11
"Колківське ЛГ","00991597","Волинська",62,40
"Коломийське ЛГ","22190768","Івано-Франківська",47,10
"Конотопське ЛГ","00992935","Сумська",97,3
"Коростишівське ЛГ","00991858","Житомирська",59,9
"Корюківське ЛГ","00993515","Чернігівська",75,15
"Костопільське ЛГ","00992800","Рівненська",106,25
"Красноградське ЛГ","00993159","Харківська",2,0
"Кременецьке ЛГ","00993047","Тернопільська",45,11
"Кременчуцьке ЛГ","00992680","Полтавська",62,0
"Кремінське ЛМГ","00993604","Луганська",63,6
"Криворізьке ЛГ","00991628","Дніпропетровська",5,2
"Крижопільське ЛГ","00991427","Вінницька",92,4
"Кролевецьке ЛМГ","00993001","Сумська",119,18
"Кутське ЛГ","20562608","Івано-Франківська",7,0
"Лебединське ЛГ","00992941","Сумська",219,16
"Лиманське ЛГ","00991717","Донецька",144,21
"ЛМГ Звірівське","05538158","Волинська",19,1
"Лубенське ЛГ","00992705","Полтавська",46,2
"Лугинське ЛГ","00991864","Житомирська",84,24
"Лугинський спецлісгосп","05418496","Житомирська",76,24
"Львівське ЛГ","20842267","Львівська",36,0
"Любешівське ЛМГ","14289429","Волинська",25,7
"Любомльське ЛГ","00991580","Волинська",69,12
"Макарівське ЛГ","00992160","Київська",125,37
"Малинське ЛГ","13551546","Житомирська",133,29
"Маневицьке ЛГ","00991545","Волинська",75,24
"Миргородське ЛГ","00992697","Полтавська",88,9
"Міжгірське ЛГ","22114589","Закарпатська",252,155
"Млинівське ЛГ","13991205","Рівненська",115,66
"Могилів-Подільське ЛГ","00991433","Вінницька",35,0
"Мокрянське ЛМГ","32467828","Закарпатська",353,177
"Мукачівське ЛГ","22114595","Закарпатська",207,53
"Надвірнянське ЛГ","22189564","Івано-Франківська",43,0
"Народицьке спеціалізоване ЛГ","34283057","Житомирська",70,14
"Ніжинське ЛГ","00993521","Чернігівська",77,39
"Новгород-Сіверське ЛГ","00993538","Чернігівська",93,35
"Новоград-Волинське ДЛМГ","00991947","Житомирська",36,9
"Новомосковське ЛГ","00991634","Дніпропетровська",6,3
"Овруцьке спеціалізоване ЛГ","00991893","Житомирська",84,47
"Олешківське ЛМГ","00993194","Херсонська",2,0
"Осмолодське ЛГ","22191070","Івано-Франківська",160,138
"Остерське ЛГ","00993544","Чернігівська",98,63
"Остерський військовий лісгосп","14304732","Чернігівська",104,43
"Остківське ЛГ","00992875","Рівненська",67,31
"Острозьке ЛГ","00992763","Рівненська",55,24
"Охтирське ЛГ","00992898","Сумська",188,0
"Павлоградське ЛГ","00991663","Дніпропетровська",10,3
"Перечинське ЛГ","22114603","Закарпатська",139,41
"Переяслав-Хмельницьке ЛГ","00992131","Київська",47,4
"Петриківське ЛГ","00991611","Дніпропетровська",15,10
"Пирятинське ЛГ","21071375","Полтавська",26,0
"Покровське ЛГ","00991769","Донецька",3,2
"Поліське ЛГ Київ","00992125","Київська",168,16
"Поліське ЛГ Волинь","37580075","Волинська",30,14
"Полтавське ЛГ","25172647","Полтавська",74,2
"Приазовське ЛГ","00991692","Донецька",6,5
"Прибузьке ЛГ","37626753","Волинська",38,14
"Прилуцьке ЛГ","00993461","Чернігівська",20,5
"Путильське ЛГ","21448070","Чернівецька",69,57
"Рава-Руське ЛГ","00992450","Львівська",17,2
"Радехівське ЛМГ","00992378","Львівська",163,13
"Радомишльське ЛМГ","13568251","Житомирська",27,12
"Ратнівське ЛМГ","00991503","Волинська",20,4
"Рахівське дослідне ЛГ","22114610","Закарпатська",377,338
"Рогатинське ЛГ","22192916","Івано-Франківська",111,0
"Рокитнівське ЛГ","00992817","Рівненська",114,53
"Роменське ЛГ","00992958","Сумська",176,2
"Самбірське ЛГ","00992510","Львівська",92,1
"Сарненське ЛГ","00992836","Рівненська",337,121
"Середино-Будське ЛГ","00992970","Сумська",131,15
"Сєвєродонецьке ЛМГ","00993610","Луганська",83,5
"Сколівське ЛГ","00992473","Львівська",80,23
"Славське ЛГ","00992384","Львівська",68,1
"Словечанське ЛГ","00991953","Житомирська",296,21
"Сокирянське ЛГ","35361371","Чернівецька",93,16
"Соснівське ЛГ","00992786","Рівненська",180,64
"Карпатський держспецлісгосп СЛАП","05398473","Чернівецька",24,4
"Камінь-Каширськагроліс","35097450","Волинська",37,3
"Локачіагроліс","36709482","Волинська",13,4
"Ратнеагроліс СЛАП","34417131","Волинська",24,3
"Сторожинецький держспецлісгосп СЛАП","05398487","Чернівецька",15,0
"Старобільське ЛМГ","00993646","Луганська",27,12
"Старовижівське ЛГ","13354633","Волинська",24,8
"Старосамбірське ЛМГ","00992421","Львівська",42,3
"Сторожинецьке ЛГ","21440625","Чернівецька",184,0
"Стрийське ЛГ","00992415","Львівська",128,1
"Сумське ЛГ","00992964","Сумська",186,0
"Тернопільське ЛГ","00993024","Тернопільська",56,17
"Тростянецький лісгосп","00992993","Сумська",261,0
"Тульчинське ЛМГ","00991479","Вінницька",174,8
"Турійське ЛГ","30996788","Волинська",24,5
"Турківське ЛГ","00992409","Львівська",63,7
"Тячівське ЛГ","40475037","Закарпатська",90,18
"Ужгородське ЛГ","22114655","Закарпатська",223,141
"Фастівське ЛГ","00992059","Київська",107,0
"Хмільницьке ЛГ","00991485","Вінницька",88,2
"Холминське ЛГ","00993484","Чернігівська",108,25
"Хотинське ЛГ","00274536","Чернівецька",120,0
"Хустське дослідне ЛГ","22114649","Закарпатська",149,40
"Чернігівське ЛГ","00993490","Чернігівська",69,11
"Чорноліське ЛГ","00992214","Кіровоградська",60,0
"Чортківське ЛГ","00993053","Тернопільська",92,41
"Шацьке учбово-досвідне ЛГ","00991574","Волинська",17,5
"Шосткинське ЛГ","00992987","Сумська",72,8
"Ясінянське ЛМГ","22114684","Закарпатська",437,317
"Вовчанське ЛГ","00993136","Харківська",10,0
"Куп'янське ЛГ","00993107","Харківська",8,0
"Новоушицьке ЛГ","05430811","Хмельницька",61,1
"Проскурівське ЛГ","35478680","Хмельницька",42,0
"Славутське ЛГ","00993314","Хмельницька",184,29
"Рожищеагроліс СЛАП","37040080","Волинська",12,6
"Хмельницьке ЛМГ","33285303","Хмельницька",97,0
"Чугуєво-Бабчанське ЛГ","00993069","Харківська",10,0
"Шепетівське ЛГ","00993320","Хмельницька",118,4
"Ярмолинецьке ЛГ","00993343","Хмельницька",73,1
"Білоцерківський ЛГ","00992119","Київська",18,2
"Болехівське ЛГ","22177986","Івано-Франківська",88,45
"Київське ЛГ","00991373","Київська",216,0
"Ківерцівське ЛГ","00991551","Волинська",85,20
"Коростенське ЛМГ","00991841","Житомирська",149,78
"Ржищівський військовий лісгосп","22990204","Київська",89,5
"Свалявське ЛГ","22114626","Закарпатська",517,327
"Свеське ЛГ","00992929","Сумська",633,13
"Чернівецьке ЛГ","00274453","Чернівецька",16,0
"Новосанжарське ЛГ","00992734","Полтавська",22,15
"Рафалівське ЛГ","32626235","Рівненська",32,28
"Дніпровсько-Тетерівське ДЛМГ","00991384","Київська",39,2
"Боринське ЛГ","20762097","Львівська",46,3
"Бориспільське ЛГ","00992102","Київська",52,1
"Ворохтянське ЛГ","20562421","Івано-Франківська",12,0
"Голованівське ЛГ","00992194","Кіровоградська",2,0
"Димерське ЛГ","00992036","Київська",154,5
"Жмеринське ЛГ","00991449","Вінницька",56,2
"Звенигородське ЛГ","00993426","Черкаська",48,6
"Кам'янське ЛГ","00993432","Черкаська",15,0
"Камінь-Каширське ЛГ","00991568","Волинська",50,17
"Корсунь-Шевченківське ЛГ","00993395","Черкаська",50,0
"Краснопільське ЛГ","00992912","Сумська",261,18
"Миколаївське ЛГ","33437380","Миколаївська",3,2
"Новоайдарське ЛМГ","00991605","Луганська",108,8
"Олевське ЛГ","00991901","Житомирська",22,12
"Олександрівське ЛГ","05396899","Кіровоградська",27,0
"Любешівагроліс","35298111","Волинська",14,4
"Солотвинське ЛГ","22184176","Івано-Франківська",69,21
"Уманське ЛГ","00993389","Черкаська",59,2
"Ізяславське ЛГ","00993308","Хмельницька",180,26
"Кам'янець-Подільське ЛГ","00993283","Хмельницька",75,0
"Летичівське ЛГ","00993298","Хмельницька",124,0
"Старокостянтинівське ЛГ","00993337","Хмельницька",142,0
"Вижницький держспецлісгосп АПК","30749729","Чернівецька",10,0
"Попільнянське ЛГ","13549845","Житомирська",45,0
"Рокитнівський держспецлісгосп СЛАП","33166992","Рівненська",8,2
"Оникіївське ЛГ","00992208","Кіровоградська",36,0
"Цуманське ЛГ","00991491","Волинська",48,21
"Сколівські Бескиди НПП","30405534","Львівська",10,1
