logging_categories,region,user_company,tot_records,tot_usbl_vol
not_exists,Державна,доцент,44240,19.39267129
not_exists,Державна,викладач,18225,13.95646033
not_exists,Державна,професор,13990,26.39456299
not_exists,Державна,асистент,11432,7.827863436
not_exists,Державна,завідувач кафедри,5575,25.11051462
not_exists,Державна,декан,956,21.08589608
not_exists,Державна,директор,562,20.14571949
not_exists,Державна,проректор,465,20.49023861
not_exists,Державна,науковий співробітник,328,18.4068323
not_exists,Державна,методист,180,11.4494382
not_exists,Державна,завідувач лабораторії,251,13.26422764
not_exists,Державна,ректор,153,25.69934641
not_exists,Державна,фахівець,231,5.076576577
not_exists,Державна,концертмейстер,80,20.33333333
not_exists,Державна,завідувач відділу,188,20.29444444
not_exists,Комунальна,доцент,755,18.75757576
not_exists,Комунальна,викладач,3400,19.91968912
not_exists,Комунальна,професор,294,25.23776224
not_exists,Комунальна,асистент,148,12.66153846
not_exists,Комунальна,завідувач кафедри,163,21.36942675
not_exists,Комунальна,декан,39,21
not_exists,Комунальна,директор,63,24.73015873
not_exists,Комунальна,проректор,60,20.08474576
not_exists,Комунальна,науковий співробітник,10,24.8
not_exists,Комунальна,методист,144,17.65492958
not_exists,Комунальна,завідувач лабораторії,17,22.94117647
not_exists,Комунальна,ректор,20,29
not_exists,Комунальна,фахівець,3,11
not_exists,Комунальна,концертмейстер,136,22.31818182
not_exists,Комунальна,завідувач відділу,11,20.54545455
not_exists,Приватна,доцент,4509,15.73737853
not_exists,Приватна,викладач,3512,10.9236223
not_exists,Приватна,професор,1708,22.95165239
not_exists,Приватна,асистент,451,5.93059126
not_exists,Приватна,завідувач кафедри,613,19.81923715
not_exists,Приватна,декан,82,15.14634146
not_exists,Приватна,директор,145,16.23776224
not_exists,Приватна,проректор,114,17.61946903
not_exists,Приватна,науковий співробітник,6,16.2
not_exists,Приватна,методист,13,4.923076923
not_exists,Приватна,завідувач лабораторії,7,8
not_exists,Приватна,ректор,82,20.29268293
not_exists,Приватна,фахівець,10,6.4
not_exists,Приватна,завідувач відділу,17,17.52941176
